Site,Year,Site_Year,Transect,Quad,Coral #,Coral Genus,Branch morphology,Percent in,Percent alive,Alive or dead,Area_cm2,Filled in ,Notes
LTER_1,2009,LTER_1_2009,2,4,4,ACR,1,100,0,Dead,113.28,NO,
LTER_1,2009,LTER_1_2009,2,4,5,POC,1,100,0,Dead,95.59,YES,
LTER_1,2009,LTER_1_2009,2,4,6,ACR,1,100,0,Dead,146.15,NO,
LTER_1,2009,LTER_1_2009,2,4,7,ACR,1,30,0,Dead,235.99,NO,
LTER_1,2010,LTER_1_2010,2,4,0,,,,,,,,
LTER_1,2006,LTER_1_2006,3,2,1,POC,2,100,95,Live,269.417,NO,
LTER_1,2006,LTER_1_2006,3,2,2,ACR,1,70,100,Live,16.278,NO,
LTER_1,2006,LTER_1_2006,3,2,3,POC,2,100,0,Dead,247.947,NO,
LTER_1,2006,LTER_1_2006,3,2,4,ACR,1,100,100,Live,92.682,NO,
LTER_1,2006,LTER_1_2006,3,2,5,POC,2,100,0,Dead,310.335,YES,
LTER_1,2006,LTER_1_2006,3,2,6,ACR,1,100,100,Live,7.073,NO,
LTER_1,2006,LTER_1_2006,3,2,7,POC,2,30,100,Live,17.171,NO,
LTER_1,2006,LTER_1_2006,3,2,8,POC,2,100,100,Live,14.58,NO,
LTER_1,2006,LTER_1_2006,3,2,9,ACR,1,60,100,Live,25.477,NO,
LTER_1,2006,LTER_1_2006,3,2,10,ACR,1,60,100,Live,4.791,NO,
LTER_1,2009,LTER_1_2009,3,2,1,POC,2,100,100,Live,307.756,NO,
LTER_1,2009,LTER_1_2009,3,2,2,POC,2,30,100,Live,47.868,NO,
LTER_1,2010,LTER_1_2010,3,2,0,,,,,,,,
LTER_1,2006,LTER_1_2006,3,4,1,ACR,1,100,100,Live,18.20,NO,
LTER_1,2006,LTER_1_2006,3,4,2,POC,2,90,100,Live,103.84,NO,
LTER_1,2006,LTER_1_2006,3,4,3,ACR,1,100,100,Live,87.28,NO,
LTER_1,2006,LTER_1_2006,3,4,4,POC,3,25,100,Live,264.76,NO,
LTER_1,2006,LTER_1_2006,3,4,5,POC,2,90,100,Live,110.88,NO,
LTER_1,2006,LTER_1_2006,3,4,6,ACR,1,100,100,Live,35.64,NO,
LTER_1,2006,LTER_1_2006,3,4,7,POC,1,100,95,Live,491.36,NO,
LTER_1,2006,LTER_1_2006,3,4,8,ACR,1,100,100,Live,12.96,NO,
LTER_1,2006,LTER_1_2006,3,4,9,POC,2,20,100,Live,29.96,NO,
LTER_1,2006,LTER_1_2006,3,4,10,ACR,1,50,100,Live,7.96,NO,
LTER_1,2006,LTER_1_2006,3,4,11,ACR,1,100,100,Live,14.00,NO,
LTER_1,2009,LTER_1_2009,3,4,1,POC,3,35,100,Live,384.18,NO,
LTER_1,2009,LTER_1_2009,3,4,2,POC,1,90,0,Dead,567.29,NO,
LTER_1,2010,LTER_1_2010,3,4,0,,,,,,,,
LTER_1,2006,LTER_1_2006,4,2,1,POC,2,30,100,Live,20.606,NO,
LTER_1,2006,LTER_1_2006,4,2,2,ACR,1,100,100,Live,29.942,NO,
LTER_1,2006,LTER_1_2006,4,2,3,ACR,1,70,90,Live,23.51,NO,
LTER_1,2006,LTER_1_2006,4,2,4,POC,3,100,100,Live,49.176,NO,
LTER_1,2006,LTER_1_2006,4,2,5,POC,3,30,100,Live,131.724,NO,
LTER_1,2006,LTER_1_2006,4,2,6,ACR,1,100,100,Live,121.259,NO,
LTER_1,2006,LTER_1_2006,4,2,7,ACR,1,100,100,Live,53.043,NO,
LTER_1,2006,LTER_1_2006,4,2,8,ACR,1,75,80,Live,119.319,NO,
LTER_1,2006,LTER_1_2006,4,2,9,POC,2,20,100,Live,23.23,NO,
LTER_1,2006,LTER_1_2006,4,2,10,ACR,1,25,100,Live,5.426,NO,
LTER_1,2006,LTER_1_2006,4,2,11,ACR,1,100,100,Live,21.613,NO,
LTER_1,2006,LTER_1_2006,4,2,12,ACR,1,100,90,Live,19.783,NO,
LTER_1,2006,LTER_1_2006,4,2,13,ACR,1,100,100,Live,16.757,NO,
LTER_1,2006,LTER_1_2006,4,2,14,POC,2,100,100,Live,122.691,NO,
LTER_1,2006,LTER_1_2006,4,2,15,ACR,1,100,100,Live,48.693,NO,
LTER_1,2009,LTER_1_2009,4,2,1,POC,3,90,0,Dead,287.476,NO,
LTER_1,2009,LTER_1_2009,4,2,2,POC,3,25,0,Dead,156.825,NO,
LTER_1,2009,LTER_1_2009,4,2,3,ACR,1,90,0,Dead,160.104,NO,
LTER_1,2009,LTER_1_2009,4,2,4,ACR,1,100,0,Dead,64.546,NO,
LTER_1,2010,LTER_1_2010,4,2,0,,,,,,,,
LTER_1,2006,LTER_1_2006,4,4,1,POC,2,100,100,Live,84.00,NO,
LTER_1,2006,LTER_1_2006,4,4,2,ACR,1,100,100,Live,14.16,NO,
LTER_1,2006,LTER_1_2006,4,4,3,ACR,1,100,100,Live,50.64,NO,
LTER_1,2006,LTER_1_2006,4,4,4,ACR,1,100,70,Live,45.12,NO,
LTER_1,2006,LTER_1_2006,4,4,5,ACR,1,100,100,Live,35.36,NO,
LTER_1,2006,LTER_1_2006,4,4,6,POC,2,40,85,Live,373.96,NO,
LTER_1,2006,LTER_1_2006,4,4,7,POC,2,80,100,Live,244.32,NO,
LTER_1,2006,LTER_1_2006,4,4,8,ACR,1,100,100,Live,28.68,NO,
LTER_1,2006,LTER_1_2006,4,4,9,ACR,1,100,100,Live,14.84,NO,
LTER_1,2006,LTER_1_2006,4,4,10,ACR,1,100,100,Live,16.00,NO,
LTER_1,2006,LTER_1_2006,4,4,11,ACR,1,30,100,Live,22.48,NO,
LTER_1,2006,LTER_1_2006,4,4,12,ACR,1,80,100,Live,330.08,NO,
LTER_1,2009,LTER_1_2009,4,4,1,POC,1,80,80,Live,350.62,NO,
LTER_1,2009,LTER_1_2009,4,4,2,POC,1,35,0,Dead,428.84,NO,
LTER_1,2010,LTER_1_2010,4,4,0,,,,,,,,
LTER_1,2006,LTER_1_2006,5,2,1,POC,2,100,50,Live,113.399,NO,
LTER_1,2006,LTER_1_2006,5,2,2,POC,1,50,0,Dead,91.081,NO,
LTER_1,2006,LTER_1_2006,5,2,3,ACR,1,100,100,Live,8.418,NO,
LTER_1,2006,LTER_1_2006,5,2,4,POC,1,75,2,Dead,247.659,YES,
LTER_1,2006,LTER_1_2006,5,2,5,POC,2,80,95,Live,143.4,NO,
LTER_1,2006,LTER_1_2006,5,2,6,POC,2,30,100,Live,55.139,NO,
LTER_1,2006,LTER_1_2006,5,2,7,ACR,1,100,100,Live,20.525,NO,
LTER_1,2006,LTER_1_2006,5,2,8,POC,2,100,100,Live,59.858,NO,
LTER_1,2006,LTER_1_2006,5,2,9,POC,2,40,100,Live,157.19,NO,
LTER_1,2006,LTER_1_2006,5,2,10,ACR,1,100,100,Live,22.261,NO,
LTER_1,2006,LTER_1_2006,5,2,11,POC,2,100,10,Dead,332.532,NO,
LTER_1,2006,LTER_1_2006,5,2,12,,,100,80,Live,54.809,NO,
LTER_1,2009,LTER_1_2009,5,2,1,POC,1,100,0,Dead,50.509,NO,
LTER_1,2009,LTER_1_2009,5,2,2,POC,2,100,0,Dead,204.908,NO,
LTER_1,2009,LTER_1_2009,5,2,3,POC,1,100,0,Dead,76.182,NO,
LTER_1,2009,LTER_1_2009,5,2,4,POC,1,100,0,Dead,49.431,YES,
LTER_1,2009,LTER_1_2009,5,2,5,POC,1,100,0,Dead,104.787,NO,
LTER_1,2009,LTER_1_2009,5,2,6,POC,1,90,0,Dead,103.104,NO,
LTER_1,2009,LTER_1_2009,5,2,7,POC,1,30,0,Dead,27.026,NO,
LTER_1,2009,LTER_1_2009,5,2,8,POC,1,50,0,Dead,80.792,NO,
LTER_1,2009,LTER_1_2009,5,2,9,POC,1,100,0,Dead,105.415,NO,
LTER_1,2009,LTER_1_2009,5,2,10,POC,1,80,0,Dead,83.342,NO,
LTER_1,2009,LTER_1_2009,5,2,11,POC,1,90,0,Dead,145.862,NO,
LTER_1,2010,LTER_1_2010,5,2,0,,,,,,,,
LTER_1,2006,LTER_1_2006,5,4,1,POC,1,30,70,Live,124.52,NO,
LTER_1,2006,LTER_1_2006,5,4,2,ACR,1,70,60,Live,300.52,NO,
LTER_1,2006,LTER_1_2006,5,4,3,ACR,1,100,100,Live,44.00,NO,
LTER_1,2006,LTER_1_2006,5,4,4,POC,1,100,100,Live,231.92,NO,
LTER_1,2006,LTER_1_2006,5,4,5,ACR,1,50,100,Live,23.12,NO,
LTER_1,2009,LTER_1_2009,5,4,1,POC,1,100,0,Dead,185.73,NO,
LTER_1,2009,LTER_1_2009,5,4,2,POC,1,100,0,Dead,21.03,NO,
LTER_1,2009,LTER_1_2009,5,4,3,ACR,1,100,0,Dead,28.02,NO,
LTER_1,2009,LTER_1_2009,5,4,4,POC,1,100,0,Dead,85.14,NO,
LTER_1,2009,LTER_1_2009,5,4,5,POC,1,80,0,Dead,99.42,NO,
LTER_1,2009,LTER_1_2009,5,4,6,POC,1,30,0,Dead,216.37,NO,
LTER_1,2010,LTER_1_2010,5,4,0,,,,,,,,
LTER_2,2006,LTER_2_2006,1,2,1,POC,3,50,100,Live,207.514,NO,
LTER_2,2006,LTER_2_2006,1,2,2,ACR,1,100,90,Live,84.359,NO,
LTER_2,2006,LTER_2_2006,1,2,3,ACR,1,100,100,Live,39.296,NO,
LTER_2,2006,LTER_2_2006,1,2,4,POC,2,100,100,Live,195.631,NO,
LTER_2,2006,LTER_2_2006,1,2,5,ACR,1,100,100,Live,87.1,NO,
LTER_2,2006,LTER_2_2006,1,2,6,POC,2,60,20,Dead,104.975,NO,
LTER_2,2006,LTER_2_2006,1,2,7,ACR,1,100,0,Dead,28.62,NO,
LTER_2,2006,LTER_2_2006,1,2,8,ACR,1,95,100,Live,16.461,NO,
LTER_2,2006,LTER_2_2006,1,2,9,ACR,1,95,100,Live,17.619,NO,
LTER_2,2006,LTER_2_2006,1,2,10,POC,1,100,0,Dead,156.878,YES,
LTER_2,2006,LTER_2_2006,1,2,11,ACR,1,100,100,Live,11.708,NO,
LTER_2,2006,LTER_2_2006,1,2,12,ACR,1,100,100,Live,4.879,NO,
LTER_2,2006,LTER_2_2006,1,2,13,ACR,1,30,50,Live,11.193,NO,
LTER_2,2009,LTER_2_2009,1,2,1,POC,3,20,100,Live,32.653,NO,
LTER_2,2009,LTER_2_2009,1,2,2,POC,2,100,0,Dead,89.785,NO,
LTER_2,2009,LTER_2_2009,1,2,3,POC,2,100,0,Dead,76.597,NO,
LTER_2,2010,LTER_2_2010,1,2,1,POC,2,50,0,Dead,105.83,NO,
LTER_2,2006,LTER_2_2006,1,6,1,POC,2,30,100,Live,37.072,NO,
LTER_2,2006,LTER_2_2006,1,6,2,ACR,1,100,100,Live,119.282,NO,
LTER_2,2006,LTER_2_2006,1,6,3,ACR,1,100,100,Live,19.66,NO,
LTER_2,2006,LTER_2_2006,1,6,4,ACR,1,95,100,Live,56.486,NO,
LTER_2,2006,LTER_2_2006,1,6,5,ACR,1,40,65,Live,126.242,NO,
LTER_2,2006,LTER_2_2006,1,6,6,ACR,1,100,90,Live,261.264,NO,
LTER_2,2006,LTER_2_2006,1,6,7,ACR,1,100,100,Live,9.929,NO,
LTER_2,2006,LTER_2_2006,1,6,8,ACR,1,40,100,Live,166.835,NO,
LTER_2,2006,LTER_2_2006,1,6,9,ACR,1,60,100,Live,248.622,NO,
LTER_2,2006,LTER_2_2006,1,6,10,ACR,1,70,100,Live,33.602,NO,
LTER_2,2006,LTER_2_2006,1,6,11,POC,1,100,85,Live,360.731,NO,
LTER_2,2006,LTER_2_2006,1,6,12,ACR,1,50,100,Live,4.028,NO,
LTER_2,2006,LTER_2_2006,1,6,13,ACR,1,100,100,Live,3.681,NO,
LTER_2,2009,LTER_2_2009,1,6,1,ACR,1,100,5,Dead,91.592,NO,
LTER_2,2009,LTER_2_2009,1,6,2,ACR,1,100,0,Dead,17.147,NO,
LTER_2,2009,LTER_2_2009,1,6,3,POC,1,80,0,Dead,41.026,NO,
LTER_2,2009,LTER_2_2009,1,6,4,ACR,1,60,0,Dead,410.677,YES,
LTER_2,2009,LTER_2_2009,1,6,5,ACR,1,50,0,Dead,33.398,YES,
LTER_2,2010,LTER_2_2010,1,6,1,ACR,1,100,0,Dead,35.954,NO,
LTER_2,2006,LTER_2_2006,2,2,1,POC,2,50,100,Live,30.168,NO,
LTER_2,2006,LTER_2_2006,2,2,2,ACR,1,100,100,Live,47.261,NO,
LTER_2,2006,LTER_2_2006,2,2,3,POC,3,100,95,Live,69.737,NO,
LTER_2,2006,LTER_2_2006,2,2,4,POC,2,100,100,Live,62.754,NO,
LTER_2,2006,LTER_2_2006,2,2,5,ACR,1,100,60,Live,28.651,NO,
LTER_2,2006,LTER_2_2006,2,2,6,POC,2,100,100,Live,71.408,NO,
LTER_2,2006,LTER_2_2006,2,2,7,POC,2,75,60,Live,124.679,NO,
LTER_2,2006,LTER_2_2006,2,2,8,ACR,1,100,100,Live,2.586,NO,
LTER_2,2006,LTER_2_2006,2,2,9,ACR,1,100,100,Live,7.27,NO,
LTER_2,2006,LTER_2_2006,2,2,10,ACR,1,100,100,Live,4.899,NO,
LTER_2,2006,LTER_2_2006,2,2,11,ACR,1,75,95,Live,257.676,NO,
LTER_2,2006,LTER_2_2006,2,2,12,POC,2,25,100,Live,29.404,NO,
LTER_2,2009,LTER_2_2009,2,2,1,POC,2,100,0,Dead,65.496,NO,
LTER_2,2009,LTER_2_2009,2,2,2,POC,2,100,0,Dead,56.953,NO,
LTER_2,2009,LTER_2_2009,2,2,3,POC,2,100,0,Dead,70.453,NO,
LTER_2,2009,LTER_2_2009,2,2,4,ACR,1,50,0,Dead,24.075,NO,
LTER_2,2009,LTER_2_2009,2,2,5,POC,2,100,0,Dead,88.511,YES,
LTER_2,2009,LTER_2_2009,2,2,6,POC,2,50,0,Dead,52.034,NO,
LTER_2,2010,LTER_2_2010,2,2,0,,,,,,,,
LTER_2,2006,LTER_2_2006,2,4,1,ACR,1,30,100,Live,58.588,NO,
LTER_2,2006,LTER_2_2006,2,4,2,POC,2,100,100,Live,22.106,NO,
LTER_2,2006,LTER_2_2006,2,4,3,ACR,1,50,100,Live,60.047,NO,
LTER_2,2006,LTER_2_2006,2,4,4,ACR,1,90,100,Live,16.498,NO,
LTER_2,2006,LTER_2_2006,2,4,5,ACR,1,100,100,Live,6.505,NO,
LTER_2,2006,LTER_2_2006,2,4,6,POC,2,100,0,Dead,53.656,YES,
LTER_2,2006,LTER_2_2006,2,4,7,ACR,1,100,100,Live,9.345,NO,
LTER_2,2009,LTER_2_2009,2,4,1,ACR,1,100,0,Dead,22.971,NO,
LTER_2,2009,LTER_2_2009,2,4,2,ACR,1,100,0,Dead,26.185,NO,
LTER_2,2010,LTER_2_2010,2,4,0,,,,,,,,
LTER_2,2006,LTER_2_2006,3,2,1,POC,2,70,50,Live,167.577,NO,
LTER_2,2006,LTER_2_2006,3,2,2,ACR,1,100,100,Live,4.408,NO,
LTER_2,2006,LTER_2_2006,3,2,3,POC,2,100,25,Dead,441.331,NO,
LTER_2,2006,LTER_2_2006,3,2,4,ACR,1,100,100,Live,105.179,NO,
LTER_2,2006,LTER_2_2006,3,2,5,ACR,1,100,100,Live,22.422,NO,
LTER_2,2006,LTER_2_2006,3,2,6,ACR,1,100,100,Live,71.248,NO,
LTER_2,2006,LTER_2_2006,3,2,7,ACR,1,75,100,Live,45.493,NO,
LTER_2,2006,LTER_2_2006,3,2,8,ACR,1,100,100,Live,26.272,NO,
LTER_2,2006,LTER_2_2006,3,2,9,ACR,1,100,100,Live,4.017,NO,
LTER_2,2006,LTER_2_2006,3,2,10,ACR,1,100,100,Live,32.689,NO,
LTER_2,2006,LTER_2_2006,3,2,11,ACR,1,100,100,Live,10.029,NO,
LTER_2,2006,LTER_2_2006,3,2,12,ACR,1,80,100,Live,17.501,NO,
LTER_2,2009,LTER_2_2009,3,2,1,POC,2,100,0,Dead,23.396,NO,
LTER_2,2009,LTER_2_2009,3,2,2,POC,2,100,0,Dead,107.252,NO,
LTER_2,2009,LTER_2_2009,3,2,3,ACR,1,50,0,Dead,118.06,NO,
LTER_2,2010,LTER_2_2010,3,2,0,,,,,,,,
LTER_2,2006,LTER_2_2006,3,4,1,ACR,1,100,25,Dead,418.782,YES,
LTER_2,2006,LTER_2_2006,3,4,2,ACR,1,100,90,Live,44.904,NO,
LTER_2,2006,LTER_2_2006,3,4,3,ACR,1,100,90,Live,16.613,NO,
LTER_2,2006,LTER_2_2006,3,4,4,ACR,1,100,100,Live,12.213,NO,
LTER_2,2006,LTER_2_2006,3,4,5,ACR,1,100,100,Live,9.601,NO,
LTER_2,2006,LTER_2_2006,3,4,6,ACR,1,100,100,Live,33.231,NO,
LTER_2,2006,LTER_2_2006,3,4,7,ACR,1,100,100,Live,13.491,NO,
LTER_2,2009,LTER_2_2009,3,4,0,,,,,,,,
LTER_2,2010,LTER_2_2010,3,4,0,,,,,,,,
LTER_2,2006,LTER_2_2006,4,2,1,POC,3,25,100,Live,35.575,NO,
LTER_2,2006,LTER_2_2006,4,2,2,ACR,1,75,100,Live,118.941,NO,
LTER_2,2006,LTER_2_2006,4,2,3,POC,2,100,100,Live,59.15,NO,
LTER_2,2006,LTER_2_2006,4,2,4,POC,2,100,40,Dead,52.798,NO,
LTER_2,2006,LTER_2_2006,4,2,5,ACR,1,100,95,Live,48.24,NO,
LTER_2,2006,LTER_2_2006,4,2,6,POC,2,70,60,Live,91.56,NO,
LTER_2,2006,LTER_2_2006,4,2,7,POC,2,50,100,Live,23.46,NO,
LTER_2,2006,LTER_2_2006,4,2,8,ACR,1,100,100,Live,12.7,NO,
LTER_2,2006,LTER_2_2006,4,2,9,ACR,1,100,100,Live,8.598,NO,
LTER_2,2009,LTER_2_2009,4,2,1,POC,2,40,0,Dead,45.098,NO,
LTER_2,2009,LTER_2_2009,4,2,2,POC,2,90,0,Dead,41.595,NO,
LTER_2,2009,LTER_2_2009,4,2,3,ACR,1,90,0,Dead,67.344,NO,
LTER_2,2009,LTER_2_2009,4,2,4,ACR,1,100,0,Dead,56.032,NO,
LTER_2,2009,LTER_2_2009,4,2,5,ACR,1,90,0,Dead,74.313,NO,
LTER_2,2009,LTER_2_2009,4,2,6,POC,2,100,0,Dead,85.754,NO,
LTER_2,2010,LTER_2_2010,4,2,0,,,,,,,,
LTER_2,2006,LTER_2_2006,4,4,1,POC,2,90,15,Dead,570.663,NO,
LTER_2,2006,LTER_2_2006,4,4,2,ACR,1,25,100,Live,24.65,NO,
LTER_2,2006,LTER_2_2006,4,4,3,ACR,1,100,100,Live,66.763,NO,
LTER_2,2006,LTER_2_2006,4,4,4,ACR,1,80,10,Dead,345.646,NO,
LTER_2,2009,LTER_2_2009,4,4,0,,,,,,,,
LTER_2,2010,LTER_2_2010,4,4,0,,,,,,,,
LTER_2,2006,LTER_2_2006,5,2,1,POC,2,60,70,Live,112.794,NO,
LTER_2,2006,LTER_2_2006,5,2,2,ACR,3,80,50,Live,888.848,NO,
LTER_2,2006,LTER_2_2006,5,2,3,POC,2,75,100,Live,69.183,NO,
LTER_2,2009,LTER_2_2009,5,2,1,POC,2,60,0,Dead,117.685,NO,
LTER_2,2009,LTER_2_2009,5,2,2,ACR,3,60,0,Dead,393.875,NO,
LTER_2,2009,LTER_2_2009,5,2,3,ACR,1,100,0,Dead,53.053,NO,
LTER_2,2010,LTER_2_2010,5,2,0,,,,,,,,
LTER_2,2006,LTER_2_2006,5,4,1,POC,2,50,100,Live,119.208,NO,
LTER_2,2006,LTER_2_2006,5,4,2,POC,2,30,0,Dead,57.618,NO,
LTER_2,2006,LTER_2_2006,5,4,3,POC,2,100,0,Dead,153.564,NO,
LTER_2,2006,LTER_2_2006,5,4,4,ACR,1,75,100,Live,72.036,NO,
LTER_2,2006,LTER_2_2006,5,4,5,ACR,1,100,90,Live,25.585,NO,
LTER_2,2009,LTER_2_2009,5,4,1,ACR,1,50,0,Dead,152.556,NO,
LTER_2,2010,LTER_2_2010,5,4,0,,,,,,,,
LTER_3,2006,LTER_3_2006,1,2,1,ACR,1,50,20,Dead,78.855,NO,
LTER_3,2006,LTER_3_2006,1,2,2,ACR,1,100,100,Live,284.928,NO,
LTER_3,2006,LTER_3_2006,1,2,3,POC,2,100,95,Live,103.781,NO,
LTER_3,2006,LTER_3_2006,1,2,4,ACR,1,30,100,Live,10.993,NO,
LTER_3,2006,LTER_3_2006,1,2,5,ACR,1,70,100,Live,70.993,NO,
LTER_3,2006,LTER_3_2006,1,2,6,POC,2,90,95,Live,55.618,NO,
LTER_3,2006,LTER_3_2006,1,2,7,POC,2,50,0,Dead,17.519,NO,
LTER_3,2006,LTER_3_2006,1,2,8,ACR,1,100,100,Live,10.761,NO,
LTER_3,2006,LTER_3_2006,1,2,9,ACR,1,100,100,Live,12.243,NO,
LTER_3,2006,LTER_3_2006,1,2,10,POC,2,100,100,Live,21.12,NO,
LTER_3,2009,LTER_3_2009,1,2,1,ACR,1,100,0,Dead,316.044,NO,
LTER_3,2009,LTER_3_2009,1,2,2,POC,2,100,0,Dead,124.853,NO,
LTER_3,2009,LTER_3_2009,1,2,3,POC,2,60,0,Dead,91.815,NO,
LTER_3,2009,LTER_3_2009,1,2,4,POC,2,100,0,Dead,21.082,NO,
LTER_3,2009,LTER_3_2009,1,2,5,POC,2,100,0,Dead,113.266,NO,
LTER_3,2009,LTER_3_2009,1,2,6,ACR,1,50,0,Dead,54.541,NO,
LTER_3,2010,LTER_3_2010,1,2,1,ACR,1,100,0,Dead,341.804,NO,
LTER_3,2010,LTER_3_2010,1,2,2,POC,2,100,0,Dead,118.685,YES,
LTER_3,2010,LTER_3_2010,1,2,3,POC,2,100,0,Dead,42.318,YES,
LTER_3,2006,LTER_3_2006,1,4,1,POC,3,80,100,Live,147.352,NO,
LTER_3,2006,LTER_3_2006,1,4,2,ACR,1,80,100,Live,118.518,NO,
LTER_3,2006,LTER_3_2006,1,4,3,POC,2,100,75,Live,48.397,NO,
