date,location,funct_group,percent_cover.total,site
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,44.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Macroalgae,13.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,35.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Macroalgae,16.3,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,24.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Macroalgae,21.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,40.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Macroalgae,1.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,66.3,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Macroalgae,1.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,45.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Macroalgae,14.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,56.3,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Macroalgae,3,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,58.699999999999996,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,49.099999999999994,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Macroalgae,4.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,37.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Macroalgae,12.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,31,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Macroalgae,22,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,33.699999999999996,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Macroalgae,18.9,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,40.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Macroalgae,19.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,11.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Macroalgae,41.4,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,40.6,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Macroalgae,8.6,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,63.300000000000004,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Macroalgae,4.4,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,66.9,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Macroalgae,8.6,LTER 1
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,52.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Macroalgae,17,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,45.4,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Macroalgae,3.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,19.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Macroalgae,1.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,48.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Macroalgae,1.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,37.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Macroalgae,1.3,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,64.7,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Macroalgae,2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,40.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Macroalgae,11.4,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,47,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,27.7,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,43.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,29.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Macroalgae,1.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,22.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Macroalgae,1.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,29,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,30.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Macroalgae,12.5,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,25.7,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Macroalgae,14.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,27.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Macroalgae,16.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,50.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Macroalgae,4.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,33.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,28.799999999999997,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Macroalgae,18.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,36.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Macroalgae,0,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,22.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Macroalgae,8.4,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,20.5,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Macroalgae,7.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,58.50000000000001,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Macroalgae,6.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,52.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Macroalgae,1.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,22.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Macroalgae,29.5,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,28.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Macroalgae,1.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,26.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Macroalgae,10.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,30.299999999999997,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Macroalgae,4.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,26.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Macroalgae,19,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,25.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Macroalgae,19.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,12.899999999999999,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Macroalgae,10,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,11.799999999999999,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Macroalgae,23.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,23.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Macroalgae,4.7,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,21.8,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Macroalgae,7.9,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,20.1,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Macroalgae,11.6,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,30.900000000000002,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Macroalgae,10.3,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,24.599999999999998,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Macroalgae,10.2,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,43.5,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Macroalgae,2.4,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,15,LTER 2
2005,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Macroalgae,20.5,LTER 2
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,26.6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,40.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Macroalgae,1.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,53,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,57.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Macroalgae,1.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,37.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Macroalgae,4.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,54.9,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,23.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Macroalgae,26.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,58.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Macroalgae,3.6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,33.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Macroalgae,2.9,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,41.099999999999994,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Macroalgae,9.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,39.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Macroalgae,10.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,68.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,82.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,24.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,45.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,38.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,30.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Macroalgae,2.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,56.599999999999994,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Macroalgae,2.9,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,62.9,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Macroalgae,1.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,59.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Macroalgae,1.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,58.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Macroalgae,3.6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,28.200000000000003,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Macroalgae,3.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,41.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Macroalgae,4.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,69.6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Macroalgae,2.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,48.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Macroalgae,2.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,61.099999999999994,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Macroalgae,1.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,40.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Macroalgae,1.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,61.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Macroalgae,1.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,59,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Macroalgae,2.3,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,47.4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Macroalgae,4,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,28,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Macroalgae,0,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,23.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Macroalgae,7.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,39.6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Macroalgae,5.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,22.8,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Macroalgae,6,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,53.1,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Macroalgae,4.2,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,40.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Macroalgae,3.5,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,64.7,LTER 1
2006,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Macroalgae,2.3,LTER 1
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,42.8,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Macroalgae,8.3,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,46.4,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Macroalgae,6.9,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,27.3,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Macroalgae,9.9,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,42.6,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Macroalgae,3,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,21.6,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Macroalgae,3.6,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,65.60000000000001,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Macroalgae,2.5,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,40.3,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Macroalgae,1.2,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,16.8,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Macroalgae,0,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,23.400000000000002,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Macroalgae,1.2,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,47.199999999999996,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Macroalgae,0,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,29.599999999999998,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Macroalgae,1.2,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,14,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Macroalgae,0,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,22.1,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Macroalgae,6.1,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,26.900000000000002,LTER 2
2006,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Macroalgae,5.3,LTER 2
