Sample,TemperatureC,SalinityPPT,AlgaePercent,ReefCode,ReefType,Site,Acreage,Latitude,Longitude,ReefShape,SuitableReference,Date,Restoration,TimeSinceConstruct,BuildDate,Species,Species_count,PlantingSeason
1,14,31,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,11/26/11,Restored,1,2009,Adult Oyster,24,Summer
1,3.5,31,5,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,2/10/14,Restored,3,2011,Adult Oyster,160,Spring
1,NA,NA,20,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,2/24/10,Restored,4,2006,Adult Oyster,656,Spring
1,10,30,35,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,2/6/12,Reference,NA,NA,Adult Oyster,264,
1,9,31,45,HC10,Shell,Hillcrest,0.64,37.27666302,-75.90336261,Patch,HC2_R,2/12/13,Restored,2,2011,Adult Oyster,60,Spring
4,15,10,5,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,4/4/11,Reference,NA,NA,Adult Oyster,396,
1,NA,NA,10,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,1/14/10,Reference,NA,NA,Adult Oyster,108,
1,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/27/09,Reference,NA,NA,Adult Oyster,84,
1,NA,NA,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,10/21/10,Restored,4,2006,Adult Oyster,108,Spring
1,7.5,15,15,HG1_R,Reference,Hog Island,0.28,37.37765297,-75.72193251,Fringe,Reference,3/3/11,Reference,NA,NA,Adult Oyster,260,
1,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/14/08,Reference,NA,NA,Adult Oyster,180,
1,29,30,NA,CCN1,Shell,Cobb Cove,1.62,37.32404007,-75.76068273,Fringe,No reference,9/19/05,Restored,0,2005,Adult Oyster,1,Summer
1,19,28,10,CCN2,Shell,Cobb Cove,1.42,37.32068638,-75.75910271,Fringe,No reference,10/18/06,Restored,1,2005,Adult Oyster,224,Summer
1,13,30,50,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,3/27/06,Reference,NA,NA,Adult Oyster,228,
2,28,30,NA,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,8/12/15,Restored,9,2006,Adult Oyster,132,Spring
2,26,30,25,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/25/15,Restored,7,2008,Adult Oyster,60,Summer
2,NA,NA,NA,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/20/08,Reference,NA,NA,Adult Oyster,320,
2,NA,NA,15,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,12/14/09,Reference,NA,NA,Adult Oyster,4,
2,17,30,10,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,11/9/11,Restored,1,2010,Adult Oyster,216,Summer
2,21,33,30,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,4/20/15,Restored,4,2011,Adult Oyster,96,Spring
2,8,33,5,RC1_R,Reference,Running Channel,0.66,37.27793563,-75.85251988,Patch,Reference,3/19/14,Reference,NA,NA,Adult Oyster,12,
2,12,29,10,CCS1,Shell,Cobb Cove,1.92,37.31174594,-75.77336348,Fringe,No reference,11/14/07,Restored,4,2003,Adult Oyster,180,Summer
2,12.5,34,5,HC9,Shell,Hillcrest,0.78,37.27679375,-75.90427141,Patch,HC2_R,4/2/15,Restored,5,2009,Adult Oyster,292,Summer
2,NA,NA,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,3/24/10,Restored,0,2009,Adult Oyster,12,Summer
2,13,31,30,BT4_W,Whelk,Boxtree,0.71,37.38914588,-75.862509,Fringe,BT2_R,3/27/13,Restored,2,2011,Adult Oyster,216,Spring
2,10,31,5,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,12/9/11,Restored,0,2011,Adult Oyster,136,Spring
1,0,34,NA,HC6,Shell,Hillcrest,0.86,37.28375422,-75.90544021,Patch,HC2_R,3/9/15,Restored,7,2008,Adult Oyster,40,Spring
1,5,14,0,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,1/5/11,Restored,5,2006,Adult Oyster,56,Spring
2,23,31,5,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,5/9/14,Restored,8,2006,Adult Oyster,48,Spring
2,11,34,10,CCS3,Shell,Cobb Cove,0.25,37.31142502,-75.77052104,Fringe,No reference,4/1/14,Restored,10,2004,Adult Oyster,20,Summer
2,NA,NA,30,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,1/8/12,Restored,6,2006,Adult Oyster,40,Summer
3,14,17,10,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,11/18/10,Restored,7,2003,Adult Oyster,120,Summer
2,15,32,5,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,11/27/11,Restored,3,2008,Adult Oyster,12,Summer
2,NA,NA,5,HC6_W,Whelk,Hillcrest,0.06,37.28349173,-75.90588547,Patch,HC2_R,10/27/11,Restored,3,2008,Adult Oyster,280,Spring
2,14,31,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,11/26/11,Restored,1,2009,Adult Oyster,120,Summer
2,3.5,31,5,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,2/10/14,Restored,3,2011,Adult Oyster,0,Spring
2,NA,NA,25,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,3/2/10,Restored,4,2006,Adult Oyster,212,Spring
2,10,30,35,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,2/6/12,Reference,NA,NA,Adult Oyster,236,
2,9,31,45,HC10,Shell,Hillcrest,0.64,37.27666302,-75.90336261,Patch,HC2_R,2/12/13,Restored,2,2011,Adult Oyster,52,Spring
2,NA,NA,10,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,1/14/10,Reference,NA,NA,Adult Oyster,844,
2,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/27/09,Reference,NA,NA,Adult Oyster,480,
2,NA,NA,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,10/21/10,Restored,4,2006,Adult Oyster,164,Spring
2,7.5,15,15,HG1_R,Reference,Hog Island,0.28,37.37765297,-75.72193251,Fringe,Reference,3/3/11,Reference,NA,NA,Adult Oyster,116,
5,15,10,5,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,4/4/11,Reference,NA,NA,Adult Oyster,36,
2,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/14/08,Reference,NA,NA,Adult Oyster,176,
3,29,30,NA,CCN1,Shell,Cobb Cove,1.62,37.32404007,-75.76068273,Fringe,No reference,9/19/05,Restored,0,2005,Adult Oyster,0,Summer
2,19,28,10,CCN2,Shell,Cobb Cove,1.42,37.32068638,-75.75910271,Fringe,No reference,10/18/06,Restored,1,2005,Adult Oyster,208,Summer
2,13,30,50,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,3/27/06,Reference,NA,NA,Adult Oyster,552,
3,28,30,NA,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,8/12/15,Restored,9,2006,Adult Oyster,136,Spring
3,26,30,25,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/25/15,Restored,7,2008,Adult Oyster,400,Summer
1,16,14,25,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/23/10,Reference,NA,NA,Adult Oyster,112,
3,NA,NA,NA,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/20/08,Reference,NA,NA,Adult Oyster,116,
3,NA,NA,15,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,12/14/09,Reference,NA,NA,Adult Oyster,0,
1,19,10,20,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,4/12/11,Restored,1,2010,Adult Oyster,48,Summer
3,17,30,10,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,11/9/11,Restored,1,2010,Adult Oyster,172,Summer
3,21,33,30,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,4/20/15,Restored,4,2011,Adult Oyster,64,Spring
3,8,33,5,RC1_R,Reference,Running Channel,0.66,37.27793563,-75.85251988,Patch,Reference,3/19/14,Reference,NA,NA,Adult Oyster,28,
1,12,29,10,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,11/14/07,Restored,4,2003,Adult Oyster,284,Summer
3,12.5,34,5,HC9,Shell,Hillcrest,0.78,37.27679375,-75.90427141,Patch,HC2_R,4/2/15,Restored,5,2009,Adult Oyster,24,Summer
3,NA,NA,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,3/24/10,Restored,0,2009,Adult Oyster,0,Summer
3,13,31,30,BT4_W,Whelk,Boxtree,0.71,37.38914588,-75.862509,Fringe,BT2_R,3/27/13,Restored,2,2011,Adult Oyster,184,Spring
3,10,31,5,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,12/9/11,Restored,0,2011,Adult Oyster,100,Spring
2,0,34,NA,HC6,Shell,Hillcrest,0.86,37.28375422,-75.90544021,Patch,HC2_R,3/9/15,Restored,7,2008,Adult Oyster,84,Spring
2,5,14,0,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,1/5/11,Restored,5,2006,Adult Oyster,8,Spring
3,23,31,5,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,5/9/14,Restored,8,2006,Adult Oyster,52,Spring
3,11,34,10,CCS3,Shell,Cobb Cove,0.25,37.31142502,-75.77052104,Fringe,No reference,4/1/14,Restored,10,2004,Adult Oyster,128,Summer
3,NA,NA,30,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,1/8/12,Restored,6,2006,Adult Oyster,12,Summer
3,15,32,5,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,11/27/11,Restored,3,2008,Adult Oyster,72,Summer
3,NA,NA,5,HC6_W,Whelk,Hillcrest,0.06,37.28349173,-75.90588547,Patch,HC2_R,10/27/11,Restored,3,2008,Adult Oyster,296,Spring
3,14,31,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,11/26/11,Restored,1,2009,Adult Oyster,24,Summer
3,3.5,31,5,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,2/10/14,Restored,3,2011,Adult Oyster,164,Spring
3,NA,NA,25,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,3/2/10,Restored,4,2006,Adult Oyster,272,Spring
1,4,10,10,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,1/31/11,Reference,NA,NA,Adult Oyster,660,
3,10,30,35,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,2/6/12,Reference,NA,NA,Adult Oyster,56,
3,9,31,45,HC10,Shell,Hillcrest,0.64,37.27666302,-75.90336261,Patch,HC2_R,2/12/13,Restored,2,2011,Adult Oyster,136,Spring
3,NA,NA,10,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,1/14/10,Reference,NA,NA,Adult Oyster,892,
3,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/27/09,Reference,NA,NA,Adult Oyster,464,
3,NA,NA,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,10/21/10,Restored,4,2006,Adult Oyster,416,Spring
3,7.5,15,15,HG1_R,Reference,Hog Island,0.28,37.37765297,-75.72193251,Fringe,Reference,3/3/11,Reference,NA,NA,Adult Oyster,144,
3,NA,NA,0,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,10/14/08,Reference,NA,NA,Adult Oyster,104,
5,29,30,NA,CCN1,Shell,Cobb Cove,1.62,37.32404007,-75.76068273,Fringe,No reference,9/19/05,Restored,0,2005,Adult Oyster,0,Summer
3,19,28,10,CCN2,Shell,Cobb Cove,1.42,37.32068638,-75.75910271,Fringe,No reference,10/18/06,Restored,1,2005,Adult Oyster,168,Summer
3,13,30,50,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,3/27/06,Reference,NA,NA,Adult Oyster,144,
1,29,30,NA,HG3,Shell,Hog Island,1.47,37.37481819,-75.72347745,Patch,HG1_R,8/17/15,Restored,5,2010,Adult Oyster,620,Fall
1,26,30,50,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/25/15,Restored,5,2010,Adult Oyster,172,Fall
2,16,14,25,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/23/10,Reference,NA,NA,Adult Oyster,32,
4,NA,NA,15,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,12/14/09,Reference,NA,NA,Adult Oyster,244,
2,19,10,20,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,4/12/11,Restored,1,2010,Adult Oyster,244,Summer
1,17,30,10,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,11/9/11,Restored,1,2010,Adult Oyster,20,Summer
1,16,33,NA,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,4/20/15,Restored,9,2006,Adult Oyster,860,Spring
2,12,29,10,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,11/14/07,Restored,4,2003,Adult Oyster,96,Summer
1,23.5,30,NA,FP1_R,Reference,Fowling Point,2.08,37.4501699,-75.81668621,Patch,Unused Reference,9/29/05,Reference,NA,NA,Adult Oyster,256,
1,NA,NA,0,FP1_R,Reference,Fowling Point,2.08,37.4501699,-75.81668621,Patch,Unused Reference,10/27/09,Reference,NA,NA,Adult Oyster,504,
1,12.5,34,5,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,4/2/15,Restored,9,2006,Adult Oyster,204,Spring
4,NA,NA,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,3/24/10,Restored,0,2009,Adult Oyster,0,Summer
1,7,31,5,BT1_R,Reference,Boxtree,0.22,37.39216155,-75.85796139,Patch,Reference,3/25/14,Reference,NA,NA,Adult Oyster,192,
4,8,34,5,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,2/1/12,Restored,1,2011,Adult Oyster,228,Spring
2,0,34,NA,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,3/9/15,Reference,NA,NA,Adult Oyster,544,
1,23,31,5,HC7,Shell,Hillcrest,0.82,37.28575366,-75.90775144,Patch,HC2_R,5/9/14,Restored,5,2009,Adult Oyster,8,Summer
3,5,14,0,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,1/5/11,Restored,5,2006,Adult Oyster,52,Spring
1,NA,NA,5,BT7_W,Whelk,Boxtree,0.544,37.38573622,-75.86595189,Fringe,BT1_R,4/28/14,Restored,2,2012,Adult Oyster,0,Spring
1,13,31,25,BT5_W,Whelk,Boxtree,0.23,37.38873635,-75.86157835,Fringe,BT2_R,3/27/13,Restored,2,2011,Adult Oyster,180,Spring
1,NA,NA,5,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,10/27/11,Reference,NA,NA,Adult Oyster,592,
1,3.5,31,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,2/10/14,Restored,4,2009,Adult Oyster,128,Summer
4,9,31,25,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,2/3/12,Restored,2,2009,Adult Oyster,52,Summer
1,10,31,50,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,2/12/13,Restored,2,2011,Adult Oyster,112,Spring
4,NA,NA,25,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,3/2/10,Restored,4,2006,Adult Oyster,4,Spring
1,13,32,25,BV3,Shell,Brownsville,1.32,37.45128512,-75.81606505,Patch,BV1_R,1/19/12,Restored,2,2010,Adult Oyster,28,Fall
2,4,10,10,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,1/31/11,Reference,NA,NA,Adult Oyster,752,
1,9,34,35,MG1,Shell,Magothy,0.63,37.15286271,-75.92614624,Patch,No reference,2/6/12,Restored,5,2007,Adult Oyster,0,Summer
4,NA,NA,5,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,1/14/10,Reference,NA,NA,Adult Oyster,196,
1,10,31,27.5,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,12/5/11,Reference,NA,NA,Adult Oyster,460,
4,NA,NA,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,10/21/10,Restored,4,2006,Adult Oyster,84,Spring
4,7.5,15,15,HG1_R,Reference,Hog Island,0.28,37.37765297,-75.72193251,Fringe,Reference,3/3/11,Reference,NA,NA,Adult Oyster,252,
1,NA,NA,NA,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,11/20/08,Reference,NA,NA,Adult Oyster,336,
1,NA,NA,0,FP1_R,Reference,Fowling Point,2.08,37.4501699,-75.81668621,Patch,Unused Reference,10/14/08,Reference,NA,NA,Adult Oyster,228,
1,19,28,10,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,10/18/06,Restored,0,2006,Adult Oyster,0,Summer
4,13,30,50,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,3/27/06,Reference,NA,NA,Adult Oyster,176,
2,29,30,NA,HG3,Shell,Hog Island,1.47,37.37481819,-75.72347745,Patch,HG1_R,8/17/15,Restored,5,2010,Adult Oyster,176,Fall
2,26,30,50,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/25/15,Restored,5,2010,Adult Oyster,172,Fall
3,16,14,25,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/23/10,Reference,NA,NA,Adult Oyster,44,
5,NA,NA,15,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,12/14/09,Reference,NA,NA,Adult Oyster,368,
3,19,10,20,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,4/12/11,Restored,1,2010,Adult Oyster,128,Summer
2,17,30,10,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,11/9/11,Restored,1,2010,Adult Oyster,72,Summer
2,16,33,NA,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,4/20/15,Restored,9,2006,Adult Oyster,564,Spring
2,NA,NA,0,FP1_R,Reference,Fowling Point,2.08,37.4501699,-75.81668621,Patch,Unused Reference,10/27/09,Reference,NA,NA,Adult Oyster,380,
2,12.5,34,5,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,4/2/15,Restored,9,2006,Adult Oyster,216,Spring
5,NA,NA,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,3/24/10,Restored,0,2009,Adult Oyster,0,Summer
2,7,31,5,BT1_R,Reference,Boxtree,0.22,37.39216155,-75.85796139,Patch,Reference,3/25/14,Reference,NA,NA,Adult Oyster,440,
5,8,34,5,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,2/1/12,Restored,1,2011,Adult Oyster,144,Spring
3,0,34,NA,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,3/9/15,Reference,NA,NA,Adult Oyster,472,
2,23,31,5,HC7,Shell,Hillcrest,0.82,37.28575366,-75.90775144,Patch,HC2_R,5/9/14,Restored,5,2009,Adult Oyster,0,Summer
4,5,14,0,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,1/5/11,Restored,5,2006,Adult Oyster,72,Spring
2,NA,NA,5,BT7_W,Whelk,Boxtree,0.544,37.38573622,-75.86595189,Fringe,BT1_R,4/28/14,Restored,2,2012,Adult Oyster,104,Spring
2,13,31,25,BT5_W,Whelk,Boxtree,0.23,37.38873635,-75.86157835,Fringe,BT2_R,3/27/13,Restored,2,2011,Adult Oyster,264,Spring
2,NA,NA,5,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,10/27/11,Reference,NA,NA,Adult Oyster,0,
2,3.5,31,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,2/10/14,Restored,4,2009,Adult Oyster,72,Summer
2,10,31,50,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,2/12/13,Restored,2,2011,Adult Oyster,136,Spring
5,NA,NA,25,RC2,Shell,Running Channel,1.16,37.27774412,-75.85265968,Patch,RC1_R,3/2/10,Restored,4,2006,Adult Oyster,4,Spring
2,13,32,25,BV3,Shell,Brownsville,1.32,37.45128512,-75.81606505,Patch,BV1_R,1/19/12,Restored,2,2010,Adult Oyster,0,Fall
3,4,10,10,SM2_R,Reference,Smith,0.94,37.13172197,-75.90061567,Patch,Reference,1/31/11,Reference,NA,NA,Adult Oyster,516,
2,9,34,35,MG1,Shell,Magothy,0.63,37.15286271,-75.92614624,Patch,No reference,2/6/12,Restored,5,2007,Adult Oyster,188,Summer
5,NA,NA,5,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,1/14/10,Reference,NA,NA,Adult Oyster,800,
2,10,31,27.5,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,12/5/11,Reference,NA,NA,Adult Oyster,648,
5,NA,NA,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,10/21/10,Restored,4,2006,Adult Oyster,388,Spring
5,7.5,15,15,HG1_R,Reference,Hog Island,0.28,37.37765297,-75.72193251,Fringe,Reference,3/3/11,Reference,NA,NA,Adult Oyster,124,
1,12,29,20,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,12/5/07,Reference,NA,NA,Adult Oyster,640,
2,NA,NA,NA,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,11/20/08,Reference,NA,NA,Adult Oyster,328,
2,NA,NA,0,FP1_R,Reference,Fowling Point,2.08,37.4501699,-75.81668621,Patch,Unused Reference,10/14/08,Reference,NA,NA,Adult Oyster,404,
2,19,28,10,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,10/18/06,Restored,0,2006,Adult Oyster,0,Summer
5,13,30,50,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,3/27/06,Reference,NA,NA,Adult Oyster,48,
2,23.5,31,NA,BV1_R,Reference,Brownsville,1.39,37.4528191,-75.81645518,Patch,Reference,9/29/05,Reference,NA,NA,Adult Oyster,152,
3,29,30,NA,HG3,Shell,Hog Island,1.47,37.37481819,-75.72347745,Patch,HG1_R,8/17/15,Restored,5,2010,Adult Oyster,120,Fall
3,26,30,50,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/25/15,Restored,5,2010,Adult Oyster,48,Fall
